"dI [mm]","wF [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,1.5,2.327,68.7568367329601,-38.5780847991341
7.5,1.5,2.33,66.8100523444878,-34.7066052523633
7.5,1.5,2.333,64.9701367928197,-30.9231249433525
7.5,1.5,2.336,63.2299660950912,-27.2236409839225
7.5,1.5,2.339,61.5830042735655,-23.6043018875157
7.5,1.5,2.342,60.023247771052,-20.0614062300405
7.5,1.5,2.345,58.5451757478269,-16.5914000693688
7.5,1.5,2.348,57.1437055847134,-13.190873436246
7.5,1.5,2.351,55.8141529990599,-9.85655614618114
7.5,1.5,2.354,54.5521962522084,-6.58531313093466
7.5,1.5,2.357,53.3538439898984,-3.37413944710744
7.5,1.5,2.36,52.2154063120709,-0.220155086200341
7.5,1.5,2.363,51.1334687166283,2.8794003162299
7.5,1.5,2.366,50.1048686038159,5.92717279623704
7.5,1.5,2.369,49.1266740647428,8.92569934324266
7.5,1.5,2.372,48.196164709832,11.8774131031136
7.5,1.5,2.375,47.3108143212828,14.7846484690004
7.5,1.5,2.378,46.4682751384349,17.6496460353547
7.5,1.5,2.381,45.6663636067031,20.4745573977309
7.5,1.5,2.384,44.9030474398832,23.2614497866911
7.5,1.5,2.387,44.1764338624584,26.0123105286623
7.5,1.5,2.39,43.4847589133368,28.7290513301791
7.5,1.5,2.393,42.8263777055099,31.413512384732
7.5,1.5,2.396,42.1997555476247,34.067466303622
7.5,1.5,2.399,41.6034598436271,36.6926218738843
7.5,1.5,2.402,41.0361526956183,39.2906276475955
7.5,1.5,2.405,40.4965841430142,41.8630753678192
7.5,1.5,2.408,39.9835859781409,44.411503237101
7.5,1.5,2.411,39.4960660846425,46.9373990348864
7.5,1.5,2.414,39.033003250628,49.4422030905254
7.5,1.5,2.417,38.5934424134053,51.9273111186851
7.5,1.5,2.42,38.1764902970449,54.3940769240509
7.5,1.5,2.423,37.7813114079181,56.8438149821694
7.5,1.5,2.426,37.4071243568424,59.2778029032098
7.5,1.5,2.429,37.0531984795807,61.6972837852809
7.5,1.5,2.432,36.7188507302193,64.1034684637875
7.5,1.5,2.435,36.4034428244476,66.4975376631171
7.5,1.5,2.438,36.1063786119898,68.8806440567457
7.5,1.5,2.441,35.827101659442,71.2539142416462
7.5,1.5,2.444,35.5650930265718,73.6184506326584
7.5,1.5,2.447,35.3198692207518,75.9753332822676
7.5,1.5,2.45,35.0909803156618,78.3256216310294
7.5,1.5,2.453,34.8780082217033,80.6703561936615
7.5,1.5,2.456,34.6805650967656,83.0105601856302
7.5,1.5,2.459,34.4982918870526,85.3472410948638
7.5,1.5,2.462,34.3308569886539,87.6813922030393
7.5,1.5,2.465,34.1779550214318,90.0139940607262
7.5,1.5,2.468,34.0393057075941,92.3460159204972
7.5,1.5,2.471,33.9146528480586,94.6784171319748
7.5,1.5,2.474,33.8037633903838,97.0121485026417
7.5,1.5,2.477,33.7064265826469,99.3481536281169
7.5,1.5,2.48,33.6224532082213,101.687370195477
7.5,1.5,2.483,33.5516748969097,104.030731263117
7.5,1.5,2.486,33.4939435083727,106.379166520528
7.5,1.5,2.489,33.4491305842339,108.733603531316
7.5,1.5,2.492,33.417126865645,111.094968962691
7.5,1.5,2.495,33.3978418734822,113.464189804628
7.5,1.5,2.498,33.3912035487,115.842194581826
7.5,1.5,2.501,33.397157950704,118.229914561581
7.5,1.5,2.504,33.4156690119242,120.628284960651
7.5,1.5,2.507,33.4467183470701,123.038246154196
7.5,1.5,2.51,33.4903051158422,125.460744889857
7.5,1.5,2.513,33.5464459381462,127.896735510068
7.5,1.5,2.516,33.6151748611365,130.347181185708
7.5,1.5,2.519,33.6965433776681,132.81305516425
7.5,1.5,2.522,33.7906204960047,135.295342035587
7.5,1.5,2.525,33.8974928608808,137.79503901881
7.5,1.5,2.528,34.0172649262781,140.313157273264
7.5,1.5,2.531,34.1500591805281,142.850723237304
7.5,1.5,2.534,34.2960164246212,145.408779998272
7.5,1.5,2.537,34.455296104864,147.988388697342
7.5,1.5,2.54,34.6280767013024,150.590629973006
7.5,1.5,2.543,34.8145561736152,153.216605447109
7.5,1.5,2.546,35.0149524664729,155.867439257547
7.5,1.5,2.549,35.22950407667,158.544279641875
7.5,1.5,2.552,35.4584706846652,161.248300576311
7.5,1.5,2.555,35.7021338535061,163.980703474835
7.5,1.5,2.558,35.9607977984857,166.742718953317
7.5,1.5,2.561,36.2347902312665,169.535608663901
7.5,1.5,2.564,36.524463282632,172.360667205124
7.5,1.5,2.567,36.8301945084736,175.21922411362
7.5,1.5,2.57,37.1523879841109,178.112645943556
7.5,1.5,2.573,37.4914754925722,181.042338440368
7.5,1.5,2.576,37.8479178130313,184.009748815743
7.5,1.5,2.579,38.2222061162248,187.016368131265
7.5,1.5,2.582,38.6148634743493,190.063733798613
7.5,1.5,2.585,39.0264464936826,193.153432204726
7.5,1.5,2.588,39.4575470789819,196.287101470943
7.5,1.5,2.591,39.9087943396081,199.466434355707
7.5,1.5,2.594,40.3808566482965,202.693181311139
7.5,1.5,2.597,40.8744438645726,205.969153704474
7.5,1.5,2.6,41.3903097359971,209.296227216189
7.5,1.5,2.603,41.9292544917271,212.676345427462
7.5,1.5,2.606,42.4921276443254,216.111523610572
7.5,1.5,2.609,43.0798310173442,219.603852736835
7.5,1.5,2.612,43.6933220179763,223.155503717781
7.5,1.5,2.615,44.3336171760255,226.768731896448
7.5,1.5,2.618,45.0017959726203,230.445881806969
7.5,1.5,2.621,45.6990049845147,234.189392222034
7.5,1.5,2.624,46.4264623725041,238.001801509296
7.5,1.5,2.627,47.1854627454861,241.885753319453
7.5,1.5,2.63,47.9773824350298,245.844002630536
