Phi[deg],Theta[deg],dB(DirTotal)
-174,10,6.23123
-172,10,6.23047
-170,10,6.22976
-168,10,6.22912
-166,10,6.22854
-164,10,6.22802
-162,10,6.22756
-160,10,6.22716
-158,10,6.22682
-156,10,6.22654
-154,10,6.22631
-152,10,6.22614
-150,10,6.22603
-148,10,6.22597
-146,10,6.22596
-144,10,6.226
-142,10,6.22609
-140,10,6.22623
-138,10,6.22642
-136,10,6.22666
-134,10,6.22694
-132,10,6.22726
-130,10,6.22762
-128,10,6.22803
-126,10,6.22848
-124,10,6.22896
-122,10,6.22948
-120,10,6.23004
-118,10,6.23064
-116,10,6.23127
-114,10,6.23193
-112,10,6.23263
-110,10,6.23336
-108,10,6.23412
-106,10,6.23491
-104,10,6.23573
-102,10,6.23657
-100,10,6.23745
-98,10,6.23834
-96,10,6.23926
-94,10,6.24021
-92,10,6.24117
-90,10,6.24215
-88,10,6.24315
-86,10,6.24417
-84,10,6.2452
-82,10,6.24625
-80,10,6.2473
-78,10,6.24836
-76,10,6.24944
-74,10,6.25051
-72,10,6.25159
-70,10,6.25267
-68,10,6.25375
-66,10,6.25483
-64,10,6.2559
-62,10,6.25697
-60,10,6.25803
-58,10,6.25908
-56,10,6.26011
-54,10,6.26114
-52,10,6.26215
-50,10,6.26315
-48,10,6.26413
-46,10,6.26509
-44,10,6.26604
-42,10,6.26696
-40,10,6.26787
-38,10,6.26876
-36,10,6.26963
-34,10,6.27048
-32,10,6.27131
-30,10,6.27212
-28,10,6.27291
-26,10,6.27369
-24,10,6.27444
-22,10,6.27518
-20,10,6.27591
-18,10,6.27662
-16,10,6.27731
-14,10,6.278
-12,10,6.27867
-10,10,6.27933
-8,10,6.27998
-6,10,6.28062
-4,10,6.28126
-2,10,6.28189
0,10,6.28251
2,10,6.28313
4,10,6.28374
6,10,6.28435
8,10,6.28496
10,10,6.28556
12,10,6.28616
14,10,6.28676
16,10,6.28735
18,10,6.28794
20,10,6.28853
22,10,6.28911
24,10,6.28968
26,10,6.29025
28,10,6.29081
30,10,6.29136
32,10,6.29191
34,10,6.29244
36,10,6.29295
38,10,6.29345
40,10,6.29393
42,10,6.2944
44,10,6.29484
46,10,6.29526
48,10,6.29565
50,10,6.29601
52,10,6.29635
54,10,6.29665
56,10,6.29691
58,10,6.29714
60,10,6.29733
62,10,6.29748
64,10,6.29759
66,10,6.29764
68,10,6.29766
70,10,6.29762
72,10,6.29753
74,10,6.29739
76,10,6.29719
78,10,6.29694
80,10,6.29663
82,10,6.29627
84,10,6.29584
86,10,6.29536
88,10,6.29481
90,10,6.29421
92,10,6.29354
94,10,6.29281
96,10,6.29202
98,10,6.29118
100,10,6.29027
102,10,6.2893
104,10,6.28828
106,10,6.28719
108,10,6.28606
110,10,6.28487
112,10,6.28362
114,10,6.28233
116,10,6.28099
118,10,6.27961
120,10,6.27819
122,10,6.27672
124,10,6.27522
126,10,6.27369
128,10,6.27213
130,10,6.27054
132,10,6.26893
134,10,6.2673
136,10,6.26566
138,10,6.26401
140,10,6.26235
142,10,6.26069
144,10,6.25903
146,10,6.25738
148,10,6.25574
150,10,6.25412
152,10,6.25251
154,10,6.25093
156,10,6.24937
158,10,6.24784
160,10,6.24635
162,10,6.24489
164,10,6.24347
166,10,6.2421
168,10,6.24077
170,10,6.23949
172,10,6.23826
174,10,6.23708
176,10,6.23596
178,10,6.2349
180,10,6.23389
-180,12,6.15982
-178,12,6.15871
-176,12,6.15768
-174,12,6.15673
-172,12,6.15586
-170,12,6.15507
-168,12,6.15437
-166,12,6.15374
-164,12,6.15319
-162,12,6.15272
-160,12,6.15233
-158,12,6.15201
-156,12,6.15175
-154,12,6.15157
-152,12,6.15146
-150,12,6.15141
-148,12,6.15143
-146,12,6.15151
-144,12,6.15164
-142,12,6.15184
-140,12,6.15209
-138,12,6.15239
-136,12,6.15274
-134,12,6.15314
-132,12,6.15359
-130,12,6.15408
-128,12,6.15462
-126,12,6.15521
-124,12,6.15583
-122,12,6.1565
-120,12,6.15721
-118,12,6.15796
-116,12,6.15874
-114,12,6.15956
-112,12,6.16042
-110,12,6.16132
-108,12,6.16225
-106,12,6.16322
-104,12,6.16422
-102,12,6.16525
-100,12,6.16631
-98,12,6.16741
-96,12,6.16853
-94,12,6.16968
-92,12,6.17085
-90,12,6.17205
-88,12,6.17327
-86,12,6.17452
-84,12,6.17578
-82,12,6.17705
-80,12,6.17834
-78,12,6.17964
-76,12,6.18095
-74,12,6.18226
-72,12,6.18358
-70,12,6.18489
-68,12,6.1862
-66,12,6.18751
-64,12,6.18881
-62,12,6.19009
-60,12,6.19136
-58,12,6.19262
-56,12,6.19385
-54,12,6.19507
-52,12,6.19626
-50,12,6.19743
-48,12,6.19857
-46,12,6.19968
-44,12,6.20077
-42,12,6.20182
-40,12,6.20285
-38,12,6.20384
-36,12,6.2048
-34,12,6.20574
-32,12,6.20664
-30,12,6.20752
-28,12,6.20837
-26,12,6.20919
-24,12,6.20998
-22,12,6.21076
-20,12,6.21151
-18,12,6.21224
-16,12,6.21295
-14,12,6.21365
-12,12,6.21434
-10,12,6.21501
-8,12,6.21568
-6,12,6.21633
-4,12,6.21699
-2,12,6.21764
0,12,6.21828
2,12,6.21893
4,12,6.21958
6,12,6.22023
8,12,6.22089
10,12,6.22155
12,12,6.22222
14,12,6.22289
16,12,6.22357
18,12,6.22425
20,12,6.22494
22,12,6.22563
24,12,6.22633
26,12,6.22702
28,12,6.22772
30,12,6.22841
32,12,6.2291
34,12,6.22979
36,12,6.23046
38,12,6.23113
40,12,6.23178
42,12,6.23241
44,12,6.23302
46,12,6.23361
48,12,6.23418
50,12,6.23471
52,12,6.23521
54,12,6.23568
56,12,6.2361
58,12,6.23648
60,12,6.23682
62,12,6.2371
64,12,6.23734
66,12,6.23752
68,12,6.23764
70,12,6.23769
72,12,6.23769
74,12,6.23762
76,12,6.23748
78,12,6.23727
80,12,6.23698
82,12,6.23662
84,12,6.23619
86,12,6.23568
88,12,6.23509
90,12,6.23442
92,12,6.23367
94,12,6.23284
96,12,6.23193
98,12,6.23094
100,12,6.22987
102,12,6.22872
104,12,6.2275
106,12,6.2262
108,12,6.22482
110,12,6.22337
112,12,6.22185
114,12,6.22026
116,12,6.21861
118,12,6.2169
120,12,6.21512
122,12,6.2133
124,12,6.21142
126,12,6.2095
128,12,6.20754
130,12,6.20554
132,12,6.20351
134,12,6.20146
136,12,6.19938
138,12,6.1973
140,12,6.1952
142,12,6.1931
144,12,6.191
146,12,6.18891
148,12,6.18684
150,12,6.18479
152,12,6.18276
154,12,6.18077
156,12,6.17881
158,12,6.17689
160,12,6.17503
162,12,6.17321
164,12,6.17145
166,12,6.16975
168,12,6.16811
170,12,6.16655
172,12,6.16505
174,12,6.16363
176,12,6.16228
178,12,6.16101
180,12,6.15982
-180,14,6.0735
-178,14,6.07225
-176,14,6.0711
-174,14,6.07006
-172,14,6.06913
-170,14,6.0683
-168,14,6.06757
-166,14,6.06694
-164,14,6.06641
-162,14,6.06597
-160,14,6.06562
-158,14,6.06537
-156,14,6.0652
-154,14,6.0651
-152,14,6.06509
-150,14,6.06515
-148,14,6.06529
-146,14,6.06549
-144,14,6.06575
-142,14,6.06608
-140,14,6.06646
-138,14,6.06689
-136,14,6.06738
-134,14,6.06792
-132,14,6.06851
-130,14,6.06915
-128,14,6.06983
-126,14,6.07055
-124,14,6.07131
-122,14,6.07212
-120,14,6.07297
-118,14,6.07386
-116,14,6.07479
-114,14,6.07576
-112,14,6.07677
-110,14,6.07781
-108,14,6.0789
-106,14,6.08003
-104,14,6.0812
-102,14,6.0824
-100,14,6.08364
-98,14,6.08492
-96,14,6.08624
-94,14,6.08759
-92,14,6.08897
-90,14,6.09039
-88,14,6.09183
-86,14,6.0933
-84,14,6.0948
-82,14,6.09631
-80,14,6.09784
-78,14,6.09939
-76,14,6.10095
-74,14,6.10251
-72,14,6.10408
-70,14,6.10565
-68,14,6.10721
-66,14,6.10876
-64,14,6.1103
-62,14,6.11182
-60,14,6.11332
-58,14,6.11479
-56,14,6.11623
-54,14,6.11765
-52,14,6.11903
-50,14,6.12037
-48,14,6.12167
-46,14,6.12293
-44,14,6.12415
-42,14,6.12532
-40,14,6.12645
-38,14,6.12753
-36,14,6.12857
-34,14,6.12956
-32,14,6.13051
-30,14,6.13142
-28,14,6.13229
-26,14,6.13312
-24,14,6.13391
-22,14,6.13468
-20,14,6.13541
-18,14,6.13612
-16,14,6.1368
-14,14,6.13747
-12,14,6.13812
-10,14,6.13876
-8,14,6.13939
-6,14,6.14001
-4,14,6.14064
-2,14,6.14126
0,14,6.1419
2,14,6.14254
4,14,6.14319
6,14,6.14385
8,14,6.14453
10,14,6.14522
12,14,6.14593
14,14,6.14666
16,14,6.1474
18,14,6.14817
20,14,6.14895
22,14,6.14975
24,14,6.15056
26,14,6.15139
28,14,6.15223
30,14,6.15308
32,14,6.15393
34,14,6.15478
36,14,6.15564
38,14,6.15649
40,14,6.15733
42,14,6.15816
44,14,6.15897
46,14,6.15976
48,14,6.16052
50,14,6.16125
52,14,6.16195
54,14,6.16261
56,14,6.16322
58,14,6.16379
60,14,6.1643
62,14,6.16476
64,14,6.16515
66,14,6.16548
68,14,6.16574
70,14,6.16592
72,14,6.16603
74,14,6.16606
76,14,6.166
78,14,6.16586
80,14,6.16562
82,14,6.1653
84,14,6.16488
86,14,6.16437
88,14,6.16375
90,14,6.16304
92,14,6.16223
94,14,6.16131
96,14,6.1603
98,14,6.15918
100,14,6.15796
102,14,6.15664
104,14,6.15522
106,14,6.1537
108,14,6.15208
110,14,6.15037
112,14,6.14857
114,14,6.14667
116,14,6.1447
118,14,6.14264
120,14,6.1405
122,14,6.13829
124,14,6.13602
126,14,6.13368
128,14,6.13129
130,14,6.12885
132,14,6.12637
134,14,6.12385
136,14,6.12131
138,14,6.11875
140,14,6.11617
142,14,6.11359
144,14,6.11101
146,14,6.10845
148,14,6.1059
150,14,6.10339
152,14,6.10091
154,14,6.09847
156,14,6.09608
158,14,6.09375
160,14,6.09148
162,14,6.08928
164,14,6.08716
166,14,6.08513
168,14,6.08318
170,14,6.08132
172,14,6.07955
174,14,6.07789
176,14,6.07632
178,14,6.07486
180,14,6.0735
-180,16,5.97512
-178,16,5.97375
-176,16,5.97253
-174,16,5.97143
-172,16,5.97047
-170,16,5.96964
-168,16,5.96894
-166,16,5.96836
-164,16,5.96789
-162,16,5.96754
-160,16,5.9673
-158,16,5.96716
-156,16,5.96712
-154,16,5.96718
-152,16,5.96731
-150,16,5.96753
