"dI [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
7.5,1.5,2.957,-0.352082199092378
7.5,1.5,2.96,-0.352075324387881
7.5,1.5,2.963,-0.352090037976217
7.5,1.5,2.966,-0.352126165037999
7.5,1.5,2.969,-0.352183538824534
7.5,1.5,2.972,-0.352262000479814
7.5,1.5,2.975,-0.352361398869072
7.5,1.5,2.978,-0.352481590413683
7.5,1.5,2.981,-0.352622438932136
7.5,1.5,2.984,-0.352783815486852
7.5,1.5,2.987,-0.352965598236697
7.5,1.5,2.99,-0.353167672294923
7.5,1.5,2.993,-0.353389929592376
7.5,1.5,2.996,-0.353632268745801
7.5,1.5,2.999,-0.353894594931004
7.5,1.5,3.002,-0.354176819760781
7.5,1.5,3.005,-0.354478861167388
7.5,1.5,3.008,-0.354800643289433
7.5,1.5,3.011,-0.355142096363012
7.5,1.5,3.014,-0.355503156616964
7.5,1.5,3.017,-0.355883766172093
7.5,1.5,3.02,-0.356283872944239
7.5,1.5,3.023,-0.356703430551058
7.5,1.5,3.026,-0.357142398222373
7.5,1.5,3.029,-0.357600740714037
7.5,1.5,3.032,-0.358078428225106
7.5,1.5,3.035,-0.358575436318291
7.5,1.5,3.038,-0.359091745843547
7.5,1.5,3.041,-0.359627342864694
7.5,1.5,3.044,-0.360182218589016
7.5,1.5,3.047,-0.360756369299652
7.5,1.5,3.05,-0.361349796290838
7.5,2,1.85,-0.245349519053979
7.5,2,1.853,-0.247659541214281
7.5,2,1.856,-0.250002917000902
7.5,2,1.859,-0.252380374896966
7.5,2,1.862,-0.254792663260034
7.5,2,1.865,-0.257240550998694
7.5,2,1.868,-0.259724828275464
7.5,2,1.871,-0.262246307237219
7.5,2,1.874,-0.264805822774346
7.5,2,1.877,-0.267404233309932
7.5,2,1.88,-0.270042421620354
7.5,2,1.883,-0.272721295688684
7.5,2,1.886,-0.27544178959242
7.5,2,1.889,-0.278204864427123
7.5,2,1.892,-0.281011509267621
7.5,2,1.895,-0.283862742168523
7.5,2,1.898,-0.286759611205884
7.5,2,1.901,-0.289703195561952
7.5,2,1.904,-0.292694606655048
7.5,2,1.907,-0.295734989316701
7.5,2,1.91,-0.298825523018314
7.5,2,1.913,-0.301967423149741
7.5,2,1.916,-0.305161942352271
7.5,2,1.919,-0.308410371908682
7.5,2,1.922,-0.311714043193131
7.5,2,1.925,-0.315074329183846
7.5,2,1.928,-0.318492646041706
7.5,2,1.931,-0.321970454757976
7.5,2,1.934,-0.325509262874717
7.5,2,1.937,-0.329110626281412
7.5,2,1.94,-0.332776151091767
7.5,2,1.943,-0.336507495604732
7.5,2,1.946,-0.340306372354006
7.5,2,1.949,-0.344174550250672
7.5,2,1.952,-0.348113856823672
7.5,2,1.955,-0.352126180563326
7.5,2,1.958,-0.356213473373205
7.5,2,1.961,-0.360377753136125
