"lP [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
27.8,0.5,2.867,-0.233534647260924
27.8,0.5,2.87,-0.232616488225734
27.8,0.5,2.873,-0.231728875152912
27.8,0.5,2.876,-0.230871090761318
27.8,0.5,2.879,-0.230042443119297
27.8,0.5,2.882,-0.229242264668869
27.8,0.5,2.885,-0.228469911294479
27.8,0.5,2.888,-0.227724761433987
27.8,0.5,2.891,-0.227006215229797
27.8,0.5,2.894,-0.226313693718055
27.8,0.5,2.897,-0.225646638054059
27.8,0.5,2.9,-0.225004508771996
27.8,0.5,2.903,-0.224386785077397
27.8,0.5,2.906,-0.22379296417063
27.8,0.5,2.909,-0.223222560599917
27.8,0.5,2.912,-0.222675105642482
27.8,0.5,2.915,-0.222150146712434
27.8,0.5,2.918,-0.221647246794068
27.8,0.5,2.921,-0.221165983899456
27.8,0.5,2.924,-0.220705950549087
27.8,0.5,2.927,-0.220266753274515
27.8,0.5,2.93,-0.219848012141953
27.8,0.5,2.933,-0.219449360295879
27.8,0.5,2.936,-0.219070443521662
27.8,0.5,2.939,-0.21871091982637
27.8,0.5,2.942,-0.218370459036954
27.8,0.5,2.945,-0.218048742414928
27.8,0.5,2.948,-0.21774546228688
27.8,0.5,2.951,-0.217460321690072
27.8,0.5,2.954,-0.217193034032435
27.8,0.5,2.957,-0.21694332276634
27.8,0.5,2.96,-0.216710921075535
27.8,0.5,2.963,-0.216495571574653
27.8,0.5,2.966,-0.216297026020746
27.8,0.5,2.969,-0.216115045036331
27.8,0.5,2.972,-0.215949397843444
27.8,0.5,2.975,-0.215799862008222
27.8,0.5,2.978,-0.215666223195572
27.8,0.5,2.981,-0.215548274933485
27.8,0.5,2.984,-0.215445818386628
27.8,0.5,2.987,-0.21535866213875
27.8,0.5,2.99,-0.215286621983607
27.8,0.5,2.993,-0.215229520724008
27.8,0.5,2.996,-0.215187187978683
27.8,0.5,2.999,-0.215159459996598
27.8,0.5,3.002,-0.215146179478469
27.8,0.5,3.005,-0.215147195405164
27.8,0.5,3.008,-0.215162362872689
27.8,0.5,3.011,-0.21519154293354
27.8,0.5,3.014,-0.215234602444133
27.8,0.5,3.017,-0.215291413918089
27.8,0.5,3.02,-0.215361855385133
27.8,0.5,3.023,-0.215445810255409
27.8,0.5,3.026,-0.215543167188968
27.8,0.5,3.029,-0.215653819970246
27.8,0.5,3.032,-0.215777667387373
27.8,0.5,3.035,-0.215914613116058
27.8,0.5,3.038,-0.216064565607941
27.8,0.5,3.041,-0.216227437983221
27.8,0.5,3.044,-0.216403147927395
27.8,0.5,3.047,-0.216591617591959
27.8,0.5,3.05,-0.216792773498937
27.8,0.7,1.85,-0.126784275417733
27.8,0.7,1.853,-0.127676429101125
27.8,0.7,1.856,-0.128579818124678
27.8,0.7,1.859,-0.129494644518617
27.8,0.7,1.862,-0.130421115573492
27.8,0.7,1.865,-0.131359443998517
27.8,0.7,1.868,-0.132309848085535
27.8,0.7,1.871,-0.133272551878786
27.8,0.7,1.874,-0.134247785350786
27.8,0.7,1.877,-0.135235784584527
27.8,0.7,1.88,-0.136236791962241
27.8,0.7,1.883,-0.137251056361062
27.8,0.7,1.886,-0.138278833355808
27.8,0.7,1.889,-0.139320385429198
27.8,0.7,1.892,-0.140375982189875
27.8,0.7,1.895,-0.141445900598444
27.8,0.7,1.898,-0.142530425201994
27.8,0.7,1.901,-0.143629848377388
27.8,0.7,1.904,-0.144744470583706
27.8,0.7,1.907,-0.145874600624262
27.8,0.7,1.91,-0.1470205559186
27.8,0.7,1.913,-0.148182662784868
27.8,0.7,1.916,-0.149361256733105
27.8,0.7,1.919,-0.150556682769818
27.8,0.7,1.922,-0.151769295714437
27.8,0.7,1.925,-0.152999460528145
27.8,0.7,1.928,-0.154247552655605
27.8,0.7,1.931,-0.155513958380229
27.8,0.7,1.934,-0.156799075193533
27.8,0.7,1.937,-0.158103312179285
27.8,0.7,1.94,-0.159427090413061
27.8,0.7,1.943,-0.160770843377965
27.8,0.7,1.946,-0.162135017397234
27.8,0.7,1.949,-0.163520072084533
27.8,0.7,1.952,-0.164926480812727
27.8,0.7,1.955,-0.166354731202077
27.8,0.7,1.958,-0.167805325628682
27.8,0.7,1.961,-0.169278781754198
27.8,0.7,1.964,-0.170775633077856
27.8,0.7,1.967,-0.172296429511776
27.8,0.7,1.97,-0.173841737980819
27.8,0.7,1.973,-0.175412143048061
27.8,0.7,1.976,-0.177008247567215
27.8,0.7,1.979,-0.178630673363317
27.8,0.7,1.982,-0.180280061943051
27.8,0.7,1.985,-0.181957075236206
27.8,0.7,1.988,-0.183662396369841
27.8,0.7,1.991,-0.185396730476787
27.8,0.7,1.994,-0.187160805540234
27.8,0.7,1.997,-0.188955373276254
27.8,0.7,2,-0.190781210056201
27.8,0.7,2.003,-0.192639117871055
27.8,0.7,2.006,-0.194529925339894
27.8,0.7,2.009,-0.196454488764789
27.8,0.7,2.012,-0.198413693234581
27.8,0.7,2.015,-0.20040845378015
27.8,0.7,2.018,-0.202439716583867
